
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T0   | T8   | T11  | T13  | T14  | T15  | T27  | T28  | T29  | T35  | T37  | T38  | T39  | T40  | T41  | T54  | T55  | T25  | T7   | T9   | T10  | T16  | T18  | T46  | T49  | T50  | T51  | T52  | T53  | T44  | T20  | T21  | T22  | T23  | T24  | T26  | T12  | T19  | T17  | T45  | T42  | T56  | T47  | T36  | T48  | T43  | NT2  | NT3  | NT4  | NT5  | NT6  | NT30 | NT31 | NT57 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT65 | NT66 | NT67 | NT68 | NT69 | NT72 | NT76 | NT81 | NT82 | NT83 | NT70 | NT71 | NT32 | NT33 | NT34 | NT73 | NT74 | NT75 | NT58 | NT78 | NT80 | NT79 | NT77 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0     |      |      | s5   | s6   | s7   | s8   | s9   | s10  | s11  | s12  | s15  | s16  | s17  | s18  | s19  | s20  | s21  | s22  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 1    | 2    | 3    | 4    | 13   | 14   | 23   | 24   | 25   | 26   | 27   | 28   | 29   | 30   | 31   | 32   | 33   | 34   | 35   | 36   | 37   | 38   | 39   |      |      |      |      |      |      |      |      |      |      |      |      |      |
1     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s40  |      |      |      |      |      |      |      |      |      |      |      | r13  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
2     |      |      | s42  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s41  |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
3     |      |      | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | s43  | s44  |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
4     |      |      | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
5     |      |      |      | s46  | s7   | s8   | s47  | s10  | s11  | s12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 45   | 48   | 49   |      |      |      |      |      |      |      |      |      |      |      |      |      | 50   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
6     |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 51   | 52   | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   | 66   | 67   | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
7     |      |      | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
8     |      |      | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
9     |      |      | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
10    |      |      | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
11    |      |      | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  | r68  | r68  | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
12    |      |      | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  | r69  | r69  | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
13    |      |      | r64  | s69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | s70  | s71  | s72  |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
14    |      |      | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
15    |      |      |      | s73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
16    |      |      |      | s74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
17    |      |      |      | s75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
18    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s76  | s77  | s78  | s79  | s80  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 81   | 82   |      |      |      |      |      |      |      |      |      |      |      |
19    |      |      |      |      |      |      | s83  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 84   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
20    |      |      | s5   | s46  | s7   | s8   | s47  | s10  | s11  | s12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r39  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 85   | 2    | 3    | 4    | 48   | 49   |      |      |      |      |      |      |      |      |      |      |      |      |      | 50   | 37   | 38   | 39   |      |      |      |      |      |      |      |      |      |      |      |      |      |
21    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r37  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
22    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r38  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
23    | acc  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
24    | r1   |      | s5   | s6   | s7   | s8   | s9   | s10  | s11  | s12  | s15  | s16  | s17  | s18  | s19  | s20  | s21  | s22  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 1    | 2    | 3    | 4    | 13   | 14   |      |      | 86   | 26   | 27   | 28   | 29   | 30   | 31   | 32   | 33   | 34   | 35   | 36   | 37   | 38   | 39   |      |      |      |      |      |      |      |      |      |      |      |      |      |
25    | r3   |      | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   | r3   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
26    | r6   |      | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   | r6   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
27    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s87  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
28    | r8   |      | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   | r8   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
29    | r9   |      | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   | r9   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
30    | r17  |      | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  | r17  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
31    | r18  |      | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  | r18  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
32    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
