
=== LR(1) Transition Table (1802 entries) ===
  State 0 --( Expr )--> State 1
  State 0 --( Eval )--> State 2
  State 0 --( Term )--> State 3
  State 0 --( Factor )--> State 4
  State 0 --( - )--> State 5
  State 0 --( ( )--> State 6
  State 0 --( integer )--> State 7
  State 0 --( floating )--> State 8
  State 0 --( name )--> State 9
  State 0 --( litstring )--> State 10
  State 0 --( true )--> State 11
  State 0 --( false )--> State 12
  State 0 --( Access )--> State 13
  State 0 --( AccessBase )--> State 14
  State 0 --( if )--> State 15
  State 0 --( while )--> State 16
  State 0 --( for )--> State 17
  State 0 --( init )--> State 18
  State 0 --( proc )--> State 19
  State 0 --( return )--> State 20
  State 0 --( break )--> State 21
  State 0 --( continue )--> State 22
  State 0 --( Program )--> State 23
  State 0 --( CompStat )--> State 24
  State 0 --( UnitStat )--> State 25
  State 0 --( ControlStat )--> State 26
  State 0 --( Stat )--> State 27
  State 0 --( CondStat )--> State 28
  State 0 --( LoopStat )--> State 29
  State 0 --( While )--> State 30
  State 0 --( For )--> State 31
  State 0 --( Declaration )--> State 32
  State 0 --( ProcDeclaration )--> State 33
  State 0 --( Assignment )--> State 34
  State 0 --( Jump )--> State 35
  State 0 --( Identifier )--> State 36
  State 0 --( Relation )--> State 37
  State 0 --( LogAnd )--> State 38
  State 0 --( Negative )--> State 39
  State 1 --( || )--> State 40
  State 2 --( + )--> State 41
  State 2 --( - )--> State 42
  State 3 --( * )--> State 43
  State 3 --( / )--> State 44
  State 5 --( Factor )--> State 45
  State 5 --( ( )--> State 46
  State 5 --( integer )--> State 7
  State 5 --( floating )--> State 8
  State 5 --( name )--> State 47
  State 5 --( litstring )--> State 10
  State 5 --( true )--> State 11
  State 5 --( false )--> State 12
  State 5 --( Access )--> State 48
  State 5 --( AccessBase )--> State 49
  State 5 --( Identifier )--> State 50
  State 6 --( Expr )--> State 51
  State 6 --( Eval )--> State 52
  State 6 --( Term )--> State 53
  State 6 --( Factor )--> State 54
  State 6 --( - )--> State 55
  State 6 --( ( )--> State 56
  State 6 --( integer )--> State 57
  State 6 --( floating )--> State 58
  State 6 --( name )--> State 59
  State 6 --( litstring )--> State 60
  State 6 --( true )--> State 61
  State 6 --( false )--> State 62
  State 6 --( Access )--> State 63
  State 6 --( AccessBase )--> State 64
  State 6 --( Identifier )--> State 65
  State 6 --( Relation )--> State 66
  State 6 --( LogAnd )--> State 67
  State 6 --( Negative )--> State 68
  State 13 --( ( )--> State 69
  State 13 --( [ )--> State 70
  State 13 --( . )--> State 71
  State 13 --( = )--> State 72
  State 15 --( ( )--> State 73
  State 16 --( ( )--> State 74
  State 17 --( ( )--> State 75
  State 18 --( int )--> State 76
  State 18 --( bool )--> State 77
  State 18 --( float )--> State 78
  State 18 --( string )--> State 79
  State 18 --( void )--> State 80
  State 18 --( VarType )--> State 81
  State 18 --( Primitive )--> State 82
  State 19 --( name )--> State 83
  State 19 --( Identifier )--> State 84
  State 20 --( Expr )--> State 85
  State 20 --( Eval )--> State 2
  State 20 --( Term )--> State 3
  State 20 --( Factor )--> State 4
  State 20 --( - )--> State 5
  State 20 --( ( )--> State 46
  State 20 --( integer )--> State 7
  State 20 --( floating )--> State 8
  State 20 --( name )--> State 47
  State 20 --( litstring )--> State 10
  State 20 --( true )--> State 11
  State 20 --( false )--> State 12
  State 20 --( Access )--> State 48
  State 20 --( AccessBase )--> State 49
  State 20 --( Identifier )--> State 50
  State 20 --( Relation )--> State 37
  State 20 --( LogAnd )--> State 38
  State 20 --( Negative )--> State 39
  State 24 --( Expr )--> State 1
  State 24 --( Eval )--> State 2
  State 24 --( Term )--> State 3
  State 24 --( Factor )--> State 4
  State 24 --( - )--> State 5
  State 24 --( ( )--> State 6
  State 24 --( integer )--> State 7
  State 24 --( floating )--> State 8
  State 24 --( name )--> State 9
  State 24 --( litstring )--> State 10
  State 24 --( true )--> State 11
  State 24 --( false )--> State 12
  State 24 --( Access )--> State 13
  State 24 --( AccessBase )--> State 14
  State 24 --( if )--> State 15
  State 24 --( while )--> State 16
  State 24 --( for )--> State 17
  State 24 --( init )--> State 18
  State 24 --( proc )--> State 19
  State 24 --( return )--> State 20
  State 24 --( break )--> State 21
  State 24 --( continue )--> State 22
  State 24 --( UnitStat )--> State 86
  State 24 --( ControlStat )--> State 26
  State 24 --( Stat )--> State 27
  State 24 --( CondStat )--> State 28
  State 24 --( LoopStat )--> State 29
  State 24 --( While )--> State 30
  State 24 --( For )--> State 31
  State 24 --( Declaration )--> State 32
  State 24 --( ProcDeclaration )--> State 33
  State 24 --( Assignment )--> State 34
  State 24 --( Jump )--> State 35
  State 24 --( Identifier )--> State 36
  State 24 --( Relation )--> State 37
  State 24 --( LogAnd )--> State 38
  State 24 --( Negative )--> State 39
  State 27 --( ; )--> State 87
  State 35 --( ; )--> State 88
  State 37 --( =? )--> State 89
  State 37 --( >= )--> State 90
  State 37 --( <= )--> State 91
  State 37 --( > )--> State 92
  State 37 --( < )--> State 93
  State 37 --( RelOp )--> State 94
  State 38 --( && )--> State 95
  State 40 --( Eval )--> State 2
  State 40 --( Term )--> State 3
  State 40 --( Factor )--> State 4
  State 40 --( - )--> State 5
  State 40 --( ( )--> State 46
  State 40 --( integer )--> State 7
  State 40 --( floating )--> State 8
  State 40 --( name )--> State 47
  State 40 --( litstring )--> State 10
  State 40 --( true )--> State 11
  State 40 --( false )--> State 12
  State 40 --( Access )--> State 48
  State 40 --( AccessBase )--> State 49
  State 40 --( Identifier )--> State 50
  State 40 --( Relation )--> State 37
  State 40 --( LogAnd )--> State 96
  State 40 --( Negative )--> State 39
  State 41 --( Term )--> State 97
  State 41 --( Factor )--> State 4
  State 41 --( - )--> State 5
  State 41 --( ( )--> State 46
  State 41 --( integer )--> State 7
  State 41 --( floating )--> State 8
  State 41 --( name )--> State 47
  State 41 --( litstring )--> State 10
  State 41 --( true )--> State 11
  State 41 --( false )--> State 12
  State 41 --( Access )--> State 48
  State 41 --( AccessBase )--> State 49
  State 41 --( Identifier )--> State 50
  State 41 --( Negative )--> State 39
  State 42 --( Term )--> State 98
  State 42 --( Factor )--> State 4
  State 42 --( - )--> State 5
  State 42 --( ( )--> State 46
  State 42 --( integer )--> State 7
  State 42 --( floating )--> State 8
  State 42 --( name )--> State 47
  State 42 --( litstring )--> State 10
  State 42 --( true )--> State 11
  State 42 --( false )--> State 12
  State 42 --( Access )--> State 48
  State 42 --( AccessBase )--> State 49
  State 42 --( Identifier )--> State 50
  State 42 --( Negative )--> State 39
  State 43 --( Factor )--> State 4
  State 43 --( - )--> State 5
  State 43 --( ( )--> State 46
  State 43 --( integer )--> State 7
  State 43 --( floating )--> State 8
  State 43 --( name )--> State 47
  State 43 --( litstring )--> State 10
  State 43 --( true )--> State 11
  State 43 --( false )--> State 12
  State 43 --( Access )--> State 48
  State 43 --( AccessBase )--> State 49
  State 43 --( Identifier )--> State 50
  State 43 --( Negative )--> State 99
  State 44 --( Factor )--> State 4
  State 44 --( - )--> State 5
  State 44 --( ( )--> State 46
  State 44 --( integer )--> State 7
  State 44 --( floating )--> State 8
  State 44 --( name )--> State 47
  State 44 --( litstring )--> State 10
  State 44 --( true )--> State 11
  State 44 --( false )--> State 12
